Id,Name,Department,Session
1,Student1,CSE,2020-21
2,Student2,CSE,2020-21
3,Student3,CSE,2020-21
4,Student4,CSE,2020-21
5,Student5,CSE,2020-21
6,Student6,CSE,2020-21
7,Student7,CSE,2020-21
8,Student8,CSE,2020-21
9,Student9,CSE,2020-21
10,Student10,CSE,2020-21
11,Student11,CSE,2021-22
12,Student12,CSE,2021-22
13,Student13,CSE,2021-22
14,Student14,CSE,2021-22
15,Student15,CSE,2021-22
16,Student16,CSE,2021-22
17,Student17,CSE,2021-22
18,Student18,CSE,2021-22
19,Student19,CSE,2021-22
20,Student20,CSE,2021-22
21,Student21,CSE,2021-22
22,Student22,CSE,2021-22
23,Student23,CSE,2021-22
24,Student24,CSE,2021-22
25,Student25,CSE,2021-22
26,Student26,CSE,2022-23
27,Student27,CSE,2022-23
28,Student28,CSE,2022-23
29,Student29,CSE,2022-23
30,Student30,CSE,2022-23
31,Student31,CSE,2022-23
32,Student32,CSE,2022-23
33,Student33,CSE,2022-23
34,Student34,CSE,2022-23
35,Student35,CSE,2022-23
36,Student36,CSE,2022-23
37,Student37,CSE,2022-23
38,Student38,CSE,2022-23
39,Student39,CSE,2022-23
40,Student40,CSE,2022-23
41,Student41,CSE,2022-23
42,Student42,CSE,2022-23
43,Student43,CSE,2022-23
44,Student44,CSE,2022-23
45,Student45,CSE,2022-23
46,Student46,CSE,2023-24
47,Student47,CSE,2023-24
48,Student48,CSE,2023-24
49,Student49,CSE,2023-24
50,Student50,CSE,2023-24
51,Student51,CSE,2023-24
52,Student52,CSE,2023-24
53,Student53,CSE,2023-24
54,Student54,CSE,2023-24
55,Student55,CSE,2023-24
56,Student56,CSE,2023-24
57,Student57,CSE,2023-24
58,Student58,CSE,2023-24
59,Student59,CSE,2023-24
60,Student60,CSE,2023-24
61,Student61,CSE,2023-24
62,Student62,CSE,2023-24
63,Student63,CSE,2023-24
64,Student64,CSE,2023-24
65,Student65,CSE,2023-24
66,Student66,CSE,2024-25
67,Student67,CSE,2024-25
68,Student68,CSE,2024-25
69,Student69,CSE,2024-25
70,Student70,CSE,2024-25
71,Student71,CSE,2024-25
72,Student72,CSE,2024-25
73,Student73,CSE,2024-25
74,Student74,CSE,2024-25
75,Student75,CSE,2024-25
76,Student76,CSE,2024-25
77,Student77,CSE,2024-25
78,Student78,CSE,2024-25
79,Student79,CSE,2024-25
80,Student80,CSE,2024-25
81,Student81,CSE,2024-25
82,Student82,CSE,2024-25
83,Student83,CSE,2024-25
84,Student84,CSE,2024-25
85,Student85,CSE,2024-25
86,Student86,CSE,2025-26
87,Student87,CSE,2025-26
88,Student88,CSE,2025-26
89,Student89,CSE,2025-26
90,Student90,CSE,2025-26
91,Student91,CSE,2025-26
92,Student92,CSE,2025-26
93,Student93,CSE,2025-26
94,Student94,CSE,2025-26
95,Student95,CSE,2025-26
96,Student96,CSE,2025-26
97,Student97,CSE,2025-26
98,Student98,CSE,2025-26
99,Student99,CSE,2025-26
100,Student100,CSE,2025-26
101,Student101,CSE,2025-26
102,Student102,CSE,2025-26
103,Student103,CSE,2025-26
104,Student104,CSE,2025-26
105,Student105,CSE,2025-26
106,Student106,CSE,2026-27
107,Student107,CSE,2026-27
108,Student108,CSE,2026-27
109,Student109,CSE,2026-27
110,Student110,CSE,2026-27
111,Student111,CSE,2026-27
112,Student112,CSE,2026-27
113,Student113,CSE,2026-27
114,Student114,CSE,2026-27
115,Student115,CSE,2026-27
116,Student116,CSE,2026-27
117,Student117,CSE,2026-27
118,Student118,CSE,2026-27
119,Student119,CSE,2026-27
120,Student120,CSE,2026-27
121,Student121,CSE,2026-27
122,Student122,CSE,2026-27
123,Student123,CSE,2026-27
124,Student124,CSE,2026-27
125,Student125,CSE,2026-27
126,Student126,CSE,2027-28
127,Student127,CSE,2027-28
128,Student128,CSE,2027-28
129,Student129,CSE,2027-28
130,Student130,CSE,2027-28
131,Student131,CSE,2027-28
132,Student132,CSE,2027-28
133,Student133,CSE,2027-28
134,Student134,CSE,2027-28
135,Student135,CSE,2027-28
136,Student136,CSE,2027-28
137,Student137,CSE,2027-28
138,Student138,CSE,2027-28
139,Student139,CSE,2027-28
140,Student140,CSE,2027-28
141,Student141,CSE,2027-28
142,Student142,CSE,2027-28
143,Student143,CSE,2027-28
144,Student144,CSE,2027-28
145,Student145,CSE,2027-28
146,Student146,CSE,2028-29
147,Student147,CSE,2028-29
148,Student148,CSE,2028-29
149,Student149,CSE,2028-29
150,Student150,CSE,2028-29
